时间,开盘,收盘,成交量,涨跌幅,成交额
2025-10-22 09:30:00,101.4357300759422,101.54141718121359,8816,0.10419120086408995,895189.133869579
2025-10-22 09:31:00,101.4357300759422,101.55019514900602,37586,0.11284492454297634,3816865.63487054
2025-10-22 09:32:00,101.4357300759422,101.5671456575424,93755,0.12955551411895083,9522427.741122888
2025-10-22 09:33:00,101.4357300759422,101.65440321650321,47022,0.21557802206115806,4779993.348046414
2025-10-22 09:34:00,101.4357300759422,101.63224337367929,84410,0.19373183156463636,8578777.66317227
2025-10-22 09:35:00,101.4357300759422,101.61102382226568,50562,0.1728126235126748,5137656.586501397
2025-10-22 09:36:00,101.4357300759422,101.65378492994832,5199,0.21496848678750347,528498.0278508012
2025-10-22 09:37:00,101.4357300759422,101.68801067066393,91543,0.24870979341584665,9308825.560824588
2025-10-22 09:38:00,101.4357300759422,101.84474172671706,34652,0.40322246457795696,3529123.9903141996
2025-10-22 09:39:00,101.4357300759422,101.799366120048,94997,0.35848910816096424,9670634.3833062
2025-10-22 09:40:00,101.4357300759422,102.0108202600569,19767,0.5669503080267146,2016447.8840805448
2025-10-22 09:41:00,101.4357300759422,101.85383954969913,30857,0.41219151618852035,3142903.926985066
2025-10-22 09:42:00,101.4357300759422,101.96554957881644,63355,0.5223203919147323,6460027.3935659155
2025-10-22 09:43:00,101.4357300759422,102.06452945320278,1987,0.6198992966184758,202802.22002351392
2025-10-22 09:44:00,101.4357300759422,101.89643030466613,14293,0.4541794379347541,1456405.678344593
2025-10-22 09:45:00,101.4357300759422,101.79229753110225,22507,0.3515205686330569,2291039.2405325184
2025-10-22 09:46:00,101.4357300759422,101.60208706806745,76756,0.1640023609044805,7798569.794996585
2025-10-22 09:47:00,101.4357300759422,101.58856315371425,46533,0.1506698652019578,4727220.609231785
2025-10-22 09:48:00,101.4357300759422,101.66258318627537,70686,0.22364221183535093,7186121.355105061
2025-10-22 09:49:00,101.4357300759422,101.87554801389345,42275,0.4335927169075049,4306788.792287346
2025-10-22 09:50:00,101.4357300759422,101.62906031837558,43929,0.19059382950035175,4464462.990725921
2025-10-22 09:51:00,101.4357300759422,101.88855698294383,25710,0.44641755588745724,2619554.800031486
2025-10-22 09:52:00,101.4357300759422,101.90807709375066,16528,0.46566137736163693,1684336.6982055109
2025-10-22 09:53:00,101.4357300759422,102.06371665521455,48758,0.6190980030430948,4976422.696674951
2025-10-22 09:54:00,101.4357300759422,102.09448631629134,53392,0.6494321476820275,5451028.813399428
2025-10-22 09:55:00,101.4357300759422,102.15947093231526,25246,0.7134969658435075,2579118.003157231
2025-10-22 09:56:00,101.4357300759422,102.28420336377131,6620,0.8364639237021132,677121.426268166
2025-10-22 09:57:00,101.4357300759422,102.28711646635321,35006,0.8393357939787016,3580662.7990211607
2025-10-22 09:58:00,101.4357300759422,102.26383776076231,31135,0.8163865771953605,3183984.5886813346
2025-10-22 09:59:00,101.4357300759422,102.42954466380188,1741,0.9797480504311729,178329.83725967907
2025-10-22 10:00:00,101.4357300759422,102.48406465300094,87085,1.033496358998831,8924824.770306587
2025-10-22 10:01:00,101.4357300759422,102.58583361236853,66579,1.1338248717343236,6830062.216077885
