时间,收盘,成交量,开盘,最高,最低,成交额
2025-10-26 09:00:00,116.08680199471696,510930,116.13412425194198,116.33276107349046,115.61011632414609,59312229.74316074
2025-10-26 09:01:00,119.48425197390114,453121,119.53295918616895,119.73740940470691,118.99361540026695,54140823.73866606
2025-10-26 09:02:00,119.38960068551235,140674,119.43826931361264,119.64255757376465,118.89935277718808,16795012.686833765
2025-10-26 09:03:00,121.12651502684969,142418,121.17589170018704,121.38315200486208,120.62913485057337,17250596.01709388
2025-10-26 09:04:00,117.3476875089681,593319,117.39552376044234,117.5963180907393,116.86582428120255,69624612.60513344
2025-10-26 09:05:00,117.47996916601628,287135,117.5278593415068,117.7288800197387,116.9975627518651,33732610.94648408
2025-10-26 09:06:00,117.37024081567125,285321,117.41808626089848,117.6189191822935,116.88828497756633,33488194.47976814
2025-10-26 09:07:00,116.5327341709993,506399,116.58023821044925,116.779638069213,116.05421737514263,59012060.05145988
2025-10-26 09:08:00,112.5234034992721,573624,112.56927315329591,112.7618126223557,112.06135016392044,64546124.80886646
2025-10-26 09:09:00,120.98369688095579,593000,121.03301533512506,121.24003126281605,120.48690315690723,71743332.25040679
2025-10-26 09:10:00,120.66568754192262,476689,120.71487636103018,120.92134814103821,120.17019965533724,57520005.928671554
2025-10-26 09:11:00,115.10850124988072,288129,115.15542470725343,115.35238755254333,114.63583276247415,33166097.35662688
2025-10-26 09:12:00,117.71059339026694,141750,117.7585775786743,117.95999287939635,117.22723996697177,16685476.613070339
2025-10-26 09:13:00,116.96413112312206,488573,117.01181101957886,117.21194904424883,116.48384288777466,57145516.43521711
2025-10-26 09:14:00,117.05688786787127,379202,117.10460557619349,117.30490231748445,116.57621874675296,44388205.99327252
2025-10-26 09:15:00,113.64639085540057,312111,113.69271829011618,113.88717930956092,113.17972621220252,35470288.69626993
2025-10-26 09:16:00,117.23229239384361,553177,117.28008160502364,117.48067848204859,116.75090301148416,64850207.80954923
2025-10-26 09:17:00,120.14631717090829,155598,120.1952942710446,120.40087735330292,119.65296196787804,18694526.65915899
2025-10-26 09:18:00,124.804612955777,346312,124.85548898901833,125.06904290906904,124.29212945554352,43221335.121941045
2025-10-26 09:19:00,119.66312806899566,105676,119.71190819929065,119.9166644937853,119.17175697886283,12645520.721819185
