date,close,position,capital,total_value,open,high,low,volume,daily_return
2024-11-15,34.0340684230285,0,100000.0,100000.0,34.62157561533992,34.62842364559015,33.93784043119037,8179568,0.0
2024-11-18,32.16182320386278,0,100000.0,100000.0,34.624975261673534,34.96797572720572,32.11546153287861,6044424,0.0
2024-11-19,31.88445161693855,0,100000.0,100000.0,31.61517001952155,31.98024033358129,30.832334490719603,10067580,0.0
2024-11-20,32.6434097687954,0,100000.0,100000.0,31.901457721919257,33.3399586352437,31.15853225522777,18894955,0.0
2024-11-21,33.13148441133944,0,100000.0,100000.0,32.358593220299475,33.88035459229179,31.788578330887546,19196906,0.0
2024-11-22,32.7296783130766,0,100000.0,100000.0,33.1298151590648,33.55666441072688,32.11275589903325,5886929,0.0
2024-11-25,33.29112625606268,0,100000.0,100000.0,32.50199505988439,33.71773820740231,31.976729821060946,14542964,0.0
2024-11-26,34.307345686508135,0,100000.0,100000.0,32.87263410726357,34.476011460486866,32.22072043301278,20914030,0.0
2024-11-27,34.59371106472305,0,100000.0,100000.0,34.26212061398304,34.92352717635492,33.797977705181864,44062131,0.0
2024-11-28,35.48577063939791,0,100000.0,100000.0,34.30109328539232,35.6085815763447,33.88475592288827,3015712,0.0
2024-11-29,36.04420328156035,0,100000.0,100000.0,35.098214504797724,36.718187561716604,34.547395162460944,42004440,0.0
2024-12-02,36.60046314503294,0,100000.0,100000.0,35.669832325562275,36.624238986728,35.106270274122856,47451316,0.0
2024-12-03,36.55371662096802,0,100000.0,100000.0,36.33238819584028,37.397474938824246,35.81511486353167,30845695,0.0
2024-12-04,37.5858945892429,0,100000.0,100000.0,36.740517588566775,37.64898418466892,36.06602967461956,19669162,0.0
2024-12-05,39.300030809912904,0,100000.0,100000.0,37.998580404543624,39.881644341395486,37.98763289065848,16453047,0.0
2024-12-06,41.04137105432321,0,100000.0,100000.0,39.32221686725427,41.27598319742841,38.57492619594763,47179374,0.0
2024-12-09,41.13384967659807,0,100000.0,100000.0,41.29911807202253,42.20267872361533,40.26390211689525,3948409,0.0
2024-12-10,42.04939002405792,0,100000.0,100000.0,41.16547135556047,43.18679305748472,41.044887274912426,25300191,0.0
