时间,收盘,支撑,阻力,longcross_support,longcross_resistance,压力信号
2025-09-29 09:30:00,27.43,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:31:00,27.35,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:32:00,27.37,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:33:00,27.34,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:34:00,27.3,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:35:00,27.3,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:36:00,27.3,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:37:00,27.28,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:38:00,27.29,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:39:00,27.28,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:40:00,27.31,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:41:00,27.33,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:42:00,27.33,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:43:00,27.33,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:44:00,27.33,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:45:00,27.35,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:46:00,27.38,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:47:00,27.34,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:48:00,27.35,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:49:00,27.31,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:50:00,27.3,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:51:00,27.31,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:52:00,27.32,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:53:00,27.35,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:54:00,27.32,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:55:00,27.33,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:56:00,27.32,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:57:00,27.31,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:58:00,27.3,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 09:59:00,27.29,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:00:00,27.29,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:01:00,27.3,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:02:00,27.29,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:03:00,27.27,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:04:00,27.28,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:05:00,27.28,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:06:00,27.28,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:07:00,27.27,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:08:00,27.27,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:09:00,27.27,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:10:00,27.26,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:11:00,27.25,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:12:00,27.25,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:13:00,27.23,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:14:00,27.24,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:15:00,27.25,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:16:00,27.24,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:17:00,27.22,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:18:00,27.23,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:19:00,27.22,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:20:00,27.22,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:21:00,27.23,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:22:00,27.22,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:23:00,27.22,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:24:00,27.21,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:25:00,27.22,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:26:00,27.21,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:27:00,27.2,27.207222222222224,27.465555555555557,True,False,False
2025-09-29 10:28:00,27.22,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:29:00,27.21,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:30:00,27.22,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:31:00,27.21,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:32:00,27.21,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:33:00,27.21,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:34:00,27.21,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:35:00,27.21,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:36:00,27.21,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:37:00,27.2,27.207222222222224,27.465555555555557,True,False,False
2025-09-29 10:38:00,27.21,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:39:00,27.2,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:40:00,27.21,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:41:00,27.21,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:42:00,27.2,27.207222222222224,27.465555555555557,True,False,False
2025-09-29 10:43:00,27.2,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:44:00,27.22,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:45:00,27.23,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:46:00,27.24,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:47:00,27.23,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:48:00,27.22,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:49:00,27.23,27.207222222222224,27.465555555555557,False,False,False
2025-09-29 10:50:00,27.24,27.207222222222224,27.465555555555557,False,False,False
