date,open,high,low,close,volume,H1,H2,VAR1,生命线,H2_cross_H1,H1_cross_H2,price_above_lifeline,price_below_lifeline,VAR1_turn_positive,VAR1_turn_negative,买入信号,卖出信号,position,capital,total_value,daily_return
2024-11-13,35.549393412156135,35.77952542244175,35.22372048052572,35.34769990710787,27552476,35.34769990710787,35.34769990710787,0.0,,0,0,0,0,0,0,False,False,0,10000.0,10000.0,0.0
2024-11-14,34.20198645455315,35.71380968903367,33.57649235478501,35.41249437920937,7440010,35.349405024794756,35.36209867868598,0.01269365389122612,,1,0,0,0,1,0,True,False,0,10000.0,10000.0,0.0
2024-11-15,35.04973316330055,36.55611841885465,34.7561772602181,36.18872299122104,9674163,35.371492339700715,35.54579297036044,0.17430063065972234,,0,0,0,0,0,0,False,False,200,2917.501124158126,10155.245722402335,1.5524572240233465
2024-11-18,36.097321802549324,37.92129652902976,35.820716307565775,37.73833374134913,19279553,35.43377763974409,36.03302425280237,0.599246613058277,,0,0,0,0,0,0,False,False,200,2917.501124158126,10465.167872427952,3.0518429440061023
2024-11-19,37.26744115977081,38.305401162221195,36.88066645880298,38.217625347341965,31914222,35.50703678994404,36.51849116270006,1.0114543727560203,,0,0,0,0,0,0,False,False,200,2917.501124158126,10561.02619362652,0.9159749978891494
2024-11-20,38.841494183606216,39.329913134831,38.8050096170998,38.8553954702089,38041101,35.59515149205627,37.037803231035355,1.4426517389790874,,0,0,0,0,0,0,False,False,200,2917.501124158126,10688.580218199906,1.207780590965337
2024-11-21,38.2997083820192,41.15564220402303,38.172336291376446,40.919430248206716,49548947,35.735264090902334,37.90038701262899,2.165122921726656,,0,0,0,0,0,0,False,False,200,2917.501124158126,11101.38717379947,3.862130864646178
2024-11-22,40.73936655141166,43.065161048931614,40.138026110874506,42.570291439299204,28209162,35.91513323164962,38.938143551889034,3.0230103202394147,,0,0,0,0,0,0,False,False,200,2917.501124158126,11431.559412017967,2.9741529869144645
2024-11-25,42.62594808407931,43.64256234184995,42.555360649671165,43.508241336459925,33790042,36.11495186598673,39.95372083734923,3.838768971362498,,0,0,0,0,0,0,False,False,200,2917.501124158126,11619.149391450112,1.640983287327642
2024-11-26,44.13531399738474,45.741064191055976,43.602907842595066,45.30510216168367,38277378,36.356797926399814,41.14291668720133,4.786118760801514,,0,0,0,0,0,0,False,False,200,2917.501124158126,11978.52155649486,3.0929300668875976
2024-11-27,44.65458334719088,47.04133377864942,44.435464101842406,46.54554051839939,44429245,36.624922731452436,42.343499760800896,5.7185770293484595,,0,0,0,0,0,0,False,False,200,2917.501124158126,12226.609227838006,2.0711042691961503
2024-11-28,47.08694137395401,47.978794320746985,46.72032657884337,47.92911719335226,45808939,36.922401533081384,43.58474807914564,6.662346546064256,,0,0,0,0,0,0,False,False,200,2917.501124158126,12503.324562828577,2.2632222052254294
2024-11-29,47.93402180916081,50.28582120813948,47.65725677167011,49.9495565197706,1224695,37.265221401152154,44.99914995484008,7.7339285536879245,,0,0,0,0,0,0,False,False,200,2917.501124158126,12907.412428112246,3.231843364963837
2024-12-02,49.45929730136897,50.735285713568906,49.10747084885646,50.599260049710246,45924507,37.61611715506158,46.243618864811225,8.627501709749644,,0,0,0,0,0,0,False,False,200,2917.501124158126,13037.353134100176,1.0067138298371914
2024-12-03,50.83308098835147,51.580244604438114,50.102054613700005,51.5149494364493,27267668,37.981875899308626,47.415025658508576,9.43314975919995,,0,0,0,0,0,0,False,False,200,2917.501124158126,13220.491011447986,1.4047167048716285
2024-12-04,51.617494937972324,54.431335560890645,51.310761364929505,53.37456169098429,15063918,38.386946578036934,48.73936699905873,10.352420421021797,,0,0,0,0,0,0,False,False,200,2917.501124158126,13592.413462354983,2.813227213610594
