date,open,high,low,close,volume
2024-11-15,34.62157561533992,34.62842364559015,33.93784043119037,34.0340684230285,8179568
2024-11-18,34.624975261673534,34.96797572720572,32.11546153287861,32.16182320386278,6044424
2024-11-19,31.61517001952155,31.98024033358129,30.832334490719603,31.88445161693855,10067580
2024-11-20,31.901457721919257,33.3399586352437,31.15853225522777,32.6434097687954,18894955
2024-11-21,32.358593220299475,33.88035459229179,31.788578330887546,33.13148441133944,19196906
2024-11-22,33.1298151590648,33.55666441072688,32.11275589903325,32.7296783130766,5886929
2024-11-25,32.50199505988439,33.71773820740231,31.976729821060946,33.29112625606268,14542964
2024-11-26,32.87263410726357,34.476011460486866,32.22072043301278,34.307345686508135,20914030
2024-11-27,34.26212061398304,34.92352717635492,33.797977705181864,34.59371106472305,44062131
2024-11-28,34.30109328539232,35.6085815763447,33.88475592288827,35.48577063939791,3015712
2024-11-29,35.098214504797724,36.718187561716604,34.547395162460944,36.04420328156035,42004440
2024-12-02,35.669832325562275,36.624238986728,35.106270274122856,36.60046314503294,47451316
2024-12-03,36.33238819584028,37.397474938824246,35.81511486353167,36.55371662096802,30845695
2024-12-04,36.740517588566775,37.64898418466892,36.06602967461956,37.5858945892429,19669162
2024-12-05,37.998580404543624,39.881644341395486,37.98763289065848,39.300030809912904,16453047
2024-12-06,39.32221686725427,41.27598319742841,38.57492619594763,41.04137105432321,47179374
2024-12-09,41.29911807202253,42.20267872361533,40.26390211689525,41.13384967659807,3948409
2024-12-10,41.16547135556047,43.18679305748472,41.044887274912426,42.04939002405792,25300191
2024-12-11,42.10533277497821,42.750219139477515,41.25084974094814,42.63044326833446,14238820
2024-12-12,43.05242916673449,44.89236219050552,42.49527483584335,44.04084326357897,47752230
2024-12-13,44.70012649887204,45.48997540807403,43.904354336724275,44.60549585096101,36268187
2024-12-16,43.8934412596134,45.537673612902424,43.60006681111916,45.29157774336154,47544258
2024-12-17,46.42472036669239,48.17075704520676,45.66449999887982,47.78737632251923,34030420
2024-12-18,48.31679057683836,51.22125826127147,47.118394372825726,51.03294168437188,41262649
2024-12-19,50.75820076904714,53.79222452020775,49.59765305294374,53.04038925660561,46277883
2024-12-20,52.9807675508643,54.63763774221528,51.70699257509369,54.55431508037437,46112369
2024-12-23,53.488562351065596,57.900054866372315,52.958731920272534,56.669695494883335,8262101
2024-12-24,56.562786725902754,58.92504131189976,55.44523603059496,58.52798390004111,5883245
2024-12-25,58.188458755416974,62.03820657899196,57.609701776545165,61.00991369778999,26222209
2024-12-26,62.420855969001025,63.190265638817046,62.19601194091329,62.59398326400833,15333622
2024-12-27,62.34540434097537,65.94619894746377,60.4860840602874,64.10659748028365,3900630
2024-12-30,64.35072282114218,67.48889362087682,64.02107571949342,66.81981382250665,3219162
2024-12-31,67.04233351672198,68.44147164713287,65.41465809437494,67.52029243717743,16443213
2025-01-01,66.47811256762463,70.47003597010098,65.49612599996775,68.70274637971094,26727437
2025-01-02,68.77925262134939,70.69455715091547,67.09512292310015,70.4314802807237,35505711
2025-01-03,70.57153946668382,72.89002665910832,70.2356732871737,72.8663462031446,33243331
2025-01-06,72.52991214733669,77.37314035842299,71.07702401128371,76.25140115011139,21070158
2025-01-07,77.8898583013202,80.01595997317911,76.35994363694094,79.25042949752904,23796931
2025-01-08,78.09433782973686,80.91878792454212,76.17059973822866,80.2294092647991,36977601
2025-01-09,80.93074996661467,83.2436843186608,80.59725177504382,81.83625311469513,39476680
2025-01-10,82.49579375774478,83.00166839468287,81.34112087089103,82.40160876104659,12303891
2025-01-13,81.23093423483401,84.01114082001145,79.92474307065925,82.5501427364486,21485573
